InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538895,90210D,PURPLE ACRYLIC FACETED BANGLE,12,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538895,85180A,RED HEARTS LIGHT CHAIN ,12,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538895,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538895,84826,ASSTD DESIGN 3D PAPER STICKERS,60,2010-12-15 09:07:00,0.21,14401.0,United Kingdom
538895,84827,ASS DES PHONE SPONGE CRAFT STICKER,60,2010-12-15 09:07:00,0.19,14401.0,United Kingdom
538895,84660C,PINK STITCHED WALL CLOCK,20,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538895,84660A,WHITE STITCHED WALL CLOCK,20,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538895,84660B,BLACK STITCHED WALL CLOCK,20,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538895,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",20,2010-12-15 09:07:00,0.42,14401.0,United Kingdom
538895,82613D,METAL SIGN CUPCAKE SINGLE HOOK,20,2010-12-15 09:07:00,0.42,14401.0,United Kingdom
538895,22647,CERAMIC LOVE HEART MONEY BANK,36,2010-12-15 09:07:00,0.42,14401.0,United Kingdom
538895,22610,PENS ASSORTED FUNNY FACE,36,2010-12-15 09:07:00,0.21,14401.0,United Kingdom
538895,22486,PLASMATRONIC LAMP,6,2010-12-15 09:07:00,3.95,14401.0,United Kingdom
538895,35961,FOLKART ZINC HEART CHRISTMAS DEC,12,2010-12-15 09:07:00,0.85,14401.0,United Kingdom
538895,85180B,PINK HEARTS LIGHT CHAIN ,12,2010-12-15 09:07:00,1.25,14401.0,United Kingdom
538896,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,2010-12-15 09:09:00,0.85,16145.0,United Kingdom
538896,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,2010-12-15 09:09:00,0.85,16145.0,United Kingdom
538896,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2010-12-15 09:09:00,2.95,16145.0,United Kingdom
538896,21314,SMALL GLASS HEART TRINKET POT,8,2010-12-15 09:09:00,2.1,16145.0,United Kingdom
538896,22077,6 RIBBONS RUSTIC CHARM,12,2010-12-15 09:09:00,1.65,16145.0,United Kingdom
538896,10125,MINI FUNKY DESIGN TAPES,20,2010-12-15 09:09:00,0.42,16145.0,United Kingdom
538896,20704,MR ROBOT SOFT TOY,8,2010-12-15 09:09:00,1.95,16145.0,United Kingdom
538896,20705,MRS ROBOT SOFT TOY,8,2010-12-15 09:09:00,1.95,16145.0,United Kingdom
538896,21879,HEARTS GIFT TAPE,24,2010-12-15 09:09:00,0.19,16145.0,United Kingdom
538896,21880,RED RETROSPOT TAPE,24,2010-12-15 09:09:00,0.19,16145.0,United Kingdom
538896,21883,STARS GIFT TAPE ,24,2010-12-15 09:09:00,0.19,16145.0,United Kingdom
538896,21884,CAKES AND BOWS GIFT  TAPE,24,2010-12-15 09:09:00,0.19,16145.0,United Kingdom
538896,22074,6 RIBBONS SHIMMERING PINKS ,24,2010-12-15 09:09:00,0.42,16145.0,United Kingdom
538896,22782,SET 3 WICKER STORAGE BASKETS ,4,2010-12-15 09:09:00,9.95,16145.0,United Kingdom
538896,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2010-12-15 09:09:00,7.95,16145.0,United Kingdom
538896,84823,DANISH ROSE FOLDING CHAIR,8,2010-12-15 09:09:00,7.95,16145.0,United Kingdom
538896,21882,SKULLS TAPE,24,2010-12-15 09:09:00,0.19,16145.0,United Kingdom
C538897,D,Discount,-1,2010-12-15 09:14:00,5.76,16422.0,United Kingdom
C538897,D,Discount,-1,2010-12-15 09:14:00,42.5,16422.0,United Kingdom
C538898,37503,TEA TIME CAKE STAND IN GIFT BOX,-1,2010-12-15 09:20:00,10.75,15078.0,United Kingdom
538899,84823,DANISH ROSE FOLDING CHAIR,2,2010-12-15 09:49:00,7.95,16817.0,United Kingdom
538899,22782,SET 3 WICKER STORAGE BASKETS ,4,2010-12-15 09:49:00,9.95,16817.0,United Kingdom
538899,22834,HAND WARMER BABUSHKA DESIGN,24,2010-12-15 09:49:00,0.85,16817.0,United Kingdom
538899,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2010-12-15 09:49:00,1.25,16817.0,United Kingdom
538899,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,2010-12-15 09:49:00,4.25,16817.0,United Kingdom
538900,21463,MIRRORED DISCO BALL ,2,2010-12-15 09:51:00,5.95,13078.0,United Kingdom
538900,21464,DISCO BALL ROTATOR BATTERY OPERATED,2,2010-12-15 09:51:00,4.25,13078.0,United Kingdom
538900,21745,GAOLERS KEYS DECORATIVE GARDEN ,4,2010-12-15 09:51:00,3.75,13078.0,United Kingdom
538900,22109,FULL ENGLISH BREAKFAST PLATE,16,2010-12-15 09:51:00,3.39,13078.0,United Kingdom
538900,22107,PIZZA PLATE IN BOX,4,2010-12-15 09:51:00,3.75,13078.0,United Kingdom
538900,22192,BLUE DINER WALL CLOCK,2,2010-12-15 09:51:00,8.5,13078.0,United Kingdom
538900,22193,RED DINER WALL CLOCK,2,2010-12-15 09:51:00,8.5,13078.0,United Kingdom
538900,21832,CHOCOLATE CALCULATOR,12,2010-12-15 09:51:00,1.65,13078.0,United Kingdom
538900,21871,SAVE THE PLANET MUG,12,2010-12-15 09:51:00,1.25,13078.0,United Kingdom
538900,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-12-15 09:51:00,1.25,13078.0,United Kingdom
538900,21755,LOVE BUILDING BLOCK WORD,3,2010-12-15 09:51:00,5.95,13078.0,United Kingdom
538900,22624,IVORY KITCHEN SCALES,2,2010-12-15 09:51:00,8.5,13078.0,United Kingdom
538900,22626,BLACK KITCHEN SCALES,2,2010-12-15 09:51:00,8.5,13078.0,United Kingdom
538900,22028,PENNY FARTHING BIRTHDAY CARD,12,2010-12-15 09:51:00,0.42,13078.0,United Kingdom
538900,21519,GIN & TONIC DIET GREETING CARD ,12,2010-12-15 09:51:00,0.42,13078.0,United Kingdom
538900,82582,AREA PATROLLED METAL SIGN,12,2010-12-15 09:51:00,2.1,13078.0,United Kingdom
538900,22654,DELUXE SEWING KIT ,6,2010-12-15 09:51:00,5.95,13078.0,United Kingdom
538900,21889,WOODEN BOX OF DOMINOES,12,2010-12-15 09:51:00,1.25,13078.0,United Kingdom
538900,22468,BABUSHKA LIGHTS STRING OF 10,6,2010-12-15 09:51:00,6.75,13078.0,United Kingdom
538901,22639,SET OF 4 NAPKIN CHARMS HEARTS,6,2010-12-15 09:58:00,2.55,17629.0,United Kingdom
538901,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-15 09:58:00,3.25,17629.0,United Kingdom
538901,20724,RED RETROSPOT CHARLOTTE BAG,10,2010-12-15 09:58:00,0.85,17629.0,United Kingdom
538901,21931,JUMBO STORAGE BAG SUKI,10,2010-12-15 09:58:00,1.95,17629.0,United Kingdom
538901,22831,WHITE BROCANTE SOAP DISH,6,2010-12-15 09:58:00,2.95,17629.0,United Kingdom
538901,22196,SMALL HEART MEASURING SPOONS,24,2010-12-15 09:58:00,0.85,17629.0,United Kingdom
538901,22195,LARGE HEART MEASURING SPOONS,24,2010-12-15 09:58:00,1.65,17629.0,United Kingdom
538901,84378,SET OF 3 HEART COOKIE CUTTERS,12,2010-12-15 09:58:00,1.25,17629.0,United Kingdom
538901,22509,SEWING BOX RETROSPOT DESIGN ,1,2010-12-15 09:58:00,16.95,17629.0,United Kingdom
538901,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2010-12-15 09:58:00,4.95,17629.0,United Kingdom
538901,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2010-12-15 09:58:00,3.75,17629.0,United Kingdom
538902,10135,COLOURING PENCILS BROWN TUBE,20,2010-12-15 10:04:00,0.42,14150.0,United Kingdom
538902,21879,HEARTS GIFT TAPE,24,2010-12-15 10:04:00,0.19,14150.0,United Kingdom
538902,21883,STARS GIFT TAPE ,24,2010-12-15 10:04:00,0.19,14150.0,United Kingdom
538902,85180A,RED HEARTS LIGHT CHAIN ,12,2010-12-15 10:04:00,1.25,14150.0,United Kingdom
538902,22585,PACK OF 6 BIRDY GIFT TAGS,24,2010-12-15 10:04:00,1.25,14150.0,United Kingdom
538902,22219,LOVEBIRD HANGING DECORATION WHITE ,24,2010-12-15 10:04:00,0.85,14150.0,United Kingdom
