InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555156,23299,FOOD COVER WITH BEADS SET 2 ,6,2011-06-01 07:37:00,3.75,15643.0,United Kingdom
555156,22847,BREAD BIN DINER STYLE IVORY,1,2011-06-01 07:37:00,16.95,15643.0,United Kingdom
555157,23075,PARLOUR CERAMIC WALL HOOK,16,2011-06-01 07:38:00,4.15,15643.0,United Kingdom
555157,47590B,PINK HAPPY BIRTHDAY BUNTING,6,2011-06-01 07:38:00,5.45,15643.0,United Kingdom
555157,22423,REGENCY CAKESTAND 3 TIER,4,2011-06-01 07:38:00,12.75,15643.0,United Kingdom
555157,47590A,BLUE HAPPY BIRTHDAY BUNTING,6,2011-06-01 07:38:00,5.45,15643.0,United Kingdom
555157,22849,BREAD BIN DINER STYLE MINT,1,2011-06-01 07:38:00,16.95,15643.0,United Kingdom
555157,47566,PARTY BUNTING,8,2011-06-01 07:38:00,4.95,15643.0,United Kingdom
555157,82580,BATHROOM METAL SIGN,12,2011-06-01 07:38:00,0.55,15643.0,United Kingdom
555157,23169,CLASSIC GLASS COOKIE JAR,10,2011-06-01 07:38:00,4.15,15643.0,United Kingdom
555158,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-06-01 08:38:00,1.95,14842.0,United Kingdom
555158,22179,SET 10 NIGHT OWL LIGHTS,4,2011-06-01 08:38:00,6.75,14842.0,United Kingdom
555158,23082,SET 6 PAPER TABLE LANTERN HEARTS ,6,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,23083,SET 6 PAPER TABLE LANTERN STARS ,6,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,22468,BABUSHKA LIGHTS STRING OF 10,4,2011-06-01 08:38:00,6.75,14842.0,United Kingdom
555158,22084,PAPER CHAIN KIT EMPIRE,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22083,PAPER CHAIN KIT RETROSPOT,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,23108,SET OF 10 LED DOLLY LIGHTS,12,2011-06-01 08:38:00,5.39,14842.0,United Kingdom
555158,20749,ASSORTED COLOUR MINI CASES,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom
555158,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-06-01 08:38:00,4.95,14842.0,United Kingdom
555158,22492,MINI PAINT SET VINTAGE ,36,2011-06-01 08:38:00,0.65,14842.0,United Kingdom
555158,22570,FELTCRAFT CUSHION RABBIT,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,22568,FELTCRAFT CUSHION OWL,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,22274,FELTCRAFT DOLL EMILY,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22273,FELTCRAFT DOLL MOLLY,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-06-01 08:38:00,2.1,14842.0,United Kingdom
555158,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-06-01 08:38:00,8.5,14842.0,United Kingdom
555158,22742,MAKE YOUR OWN PLAYTIME CARD KIT,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22744,MAKE YOUR OWN MONSOON CARD KIT,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,20978,36 PENCILS TUBE SKULLS,16,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
555158,20977,36 PENCILS TUBE WOODLAND,16,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
555158,20979,36 PENCILS TUBE RED RETROSPOT,16,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
555158,22584,PACK OF 6 PANNETONE GIFT BOXES,6,2011-06-01 08:38:00,2.55,14842.0,United Kingdom
555158,22583,PACK OF 6 HANDBAG GIFT BOXES,6,2011-06-01 08:38:00,2.55,14842.0,United Kingdom
555158,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
555158,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2011-06-01 08:38:00,0.29,14842.0,United Kingdom
555158,21982,PACK OF 12 SUKI TISSUES ,24,2011-06-01 08:38:00,0.29,14842.0,United Kingdom
555158,21931,JUMBO STORAGE BAG SUKI,10,2011-06-01 08:38:00,2.08,14842.0,United Kingdom
555158,21935,SUKI  SHOULDER BAG,10,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-06-01 08:38:00,0.85,14842.0,United Kingdom
555158,23202,JUMBO BAG VINTAGE LEAF,10,2011-06-01 08:38:00,2.08,14842.0,United Kingdom
555158,22077,6 RIBBONS RUSTIC CHARM,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-06-01 08:38:00,4.95,14842.0,United Kingdom
555158,21154,RED RETROSPOT OVEN GLOVE ,10,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
555158,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2011-06-01 08:38:00,2.55,14842.0,United Kingdom
555158,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2011-06-01 08:38:00,2.1,14842.0,United Kingdom
555158,23299,FOOD COVER WITH BEADS SET 2 ,6,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,23298,SPOTTY BUNTING,3,2011-06-01 08:38:00,4.95,14842.0,United Kingdom
555158,22961,JAM MAKING SET PRINTED,12,2011-06-01 08:38:00,1.45,14842.0,United Kingdom
555158,22960,JAM MAKING SET WITH JARS,12,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-06-01 08:38:00,0.85,14842.0,United Kingdom
555158,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-06-01 08:38:00,1.45,14842.0,United Kingdom
555158,22978,PANTRY ROLLING PIN,6,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
555158,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
555158,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22423,REGENCY CAKESTAND 3 TIER,2,2011-06-01 08:38:00,12.75,14842.0,United Kingdom
555158,23172,REGENCY TEA PLATE PINK,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,23171,REGENCY TEA PLATE GREEN ,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,23170,REGENCY TEA PLATE ROSES ,12,2011-06-01 08:38:00,1.65,14842.0,United Kingdom
555158,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
555158,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-06-01 08:38:00,0.55,14842.0,United Kingdom
555158,22781,GUMBALL MAGAZINE RACK,2,2011-06-01 08:38:00,7.65,14842.0,United Kingdom
