InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
580733,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-12-06 08:37:00,2.08,16929.0,United Kingdom
580733,21429,RED GINGHAM ROSE JEWELLERY BOX,16,2011-12-06 08:37:00,1.95,16929.0,United Kingdom
580733,21479,WHITE SKULL HOT WATER BOTTLE ,4,2011-12-06 08:37:00,4.25,16929.0,United Kingdom
580733,84596F,SMALL MARSHMALLOWS PINK BOWL,32,2011-12-06 08:37:00,0.42,16929.0,United Kingdom
580733,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,32,2011-12-06 08:37:00,0.42,16929.0,United Kingdom
580733,21115,ROSE CARAVAN DOORSTOP,8,2011-12-06 08:37:00,1.95,16929.0,United Kingdom
580733,21411,GINGHAM HEART  DOORSTOP RED,8,2011-12-06 08:37:00,1.95,16929.0,United Kingdom
580733,22806,SET OF 6 T-LIGHTS WEDDING CAKE ,12,2011-12-06 08:37:00,1.25,16929.0,United Kingdom
580733,23207,LUNCH BAG ALPHABET DESIGN,10,2011-12-06 08:37:00,1.65,16929.0,United Kingdom
580733,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,48,2011-12-06 08:37:00,0.29,16929.0,United Kingdom
580733,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-12-06 08:37:00,2.08,16929.0,United Kingdom
580733,22513,DOORSTOP FOOTBALL DESIGN,16,2011-12-06 08:37:00,0.79,16929.0,United Kingdom
580734,20725,LUNCH BAG RED RETROSPOT,20,2011-12-06 08:46:00,1.65,12766.0,Portugal
580734,20728,LUNCH BAG CARS BLUE,10,2011-12-06 08:46:00,1.65,12766.0,Portugal
580734,23583,LUNCH BAG PAISLEY PARK  ,30,2011-12-06 08:46:00,1.65,12766.0,Portugal
580734,23582,VINTAGE DOILY JUMBO BAG RED ,20,2011-12-06 08:46:00,2.08,12766.0,Portugal
580734,23581,JUMBO BAG PAISLEY PARK,30,2011-12-06 08:46:00,2.08,12766.0,Portugal
580734,20718,RED RETROSPOT SHOPPER BAG,10,2011-12-06 08:46:00,1.25,12766.0,Portugal
580734,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-12-06 08:46:00,4.95,12766.0,Portugal
580734,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,2011-12-06 08:46:00,4.95,12766.0,Portugal
580734,85099B,JUMBO BAG RED RETROSPOT,20,2011-12-06 08:46:00,2.08,12766.0,Portugal
580734,23319,BOX OF 6 MINI 50'S CRACKERS,12,2011-12-06 08:46:00,2.49,12766.0,Portugal
580734,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2011-12-06 08:46:00,3.75,12766.0,Portugal
580734,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2011-12-06 08:46:00,4.95,12766.0,Portugal
580734,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-12-06 08:46:00,4.25,12766.0,Portugal
580734,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-12-06 08:46:00,6.25,12766.0,Portugal
580734,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2011-12-06 08:46:00,2.1,12766.0,Portugal
580734,23355,HOT WATER BOTTLE KEEP CALM,12,2011-12-06 08:46:00,4.95,12766.0,Portugal
580734,23357,HOT WATER BOTTLE SEX BOMB,8,2011-12-06 08:46:00,4.95,12766.0,Portugal
580734,23356,LOVE HOT WATER BOTTLE,6,2011-12-06 08:46:00,5.95,12766.0,Portugal
580734,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,2011-12-06 08:46:00,0.85,12766.0,Portugal
580734,22600,CHRISTMAS RETROSPOT STAR WOOD,12,2011-12-06 08:46:00,0.85,12766.0,Portugal
580734,22602,RETROSPOT WOODEN HEART DECORATION,24,2011-12-06 08:46:00,0.85,12766.0,Portugal
580734,POST,POSTAGE,4,2011-12-06 08:46:00,28.0,12766.0,Portugal
580735,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-12-06 08:52:00,0.42,17728.0,United Kingdom
580735,22584,PACK OF 6 PANETTONE GIFT BOXES,6,2011-12-06 08:52:00,2.55,17728.0,United Kingdom
580735,22813,PACK 3 BOXES BIRD PANETTONE ,12,2011-12-06 08:52:00,1.95,17728.0,United Kingdom
580735,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-12-06 08:52:00,1.65,17728.0,United Kingdom
580735,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,2011-12-06 08:52:00,1.65,17728.0,United Kingdom
580735,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-12-06 08:52:00,1.65,17728.0,United Kingdom
580735,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-12-06 08:52:00,1.65,17728.0,United Kingdom
580735,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-12-06 08:52:00,4.95,17728.0,United Kingdom
580735,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-12-06 08:52:00,0.29,17728.0,United Kingdom
580735,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,2011-12-06 08:52:00,3.75,17728.0,United Kingdom
580735,22274,FELTCRAFT DOLL EMILY,6,2011-12-06 08:52:00,2.95,17728.0,United Kingdom
580735,22273,FELTCRAFT DOLL MOLLY,6,2011-12-06 08:52:00,2.95,17728.0,United Kingdom
580735,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-12-06 08:52:00,1.25,17728.0,United Kingdom
580735,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2011-12-06 08:52:00,0.65,17728.0,United Kingdom
580735,22632,HAND WARMER RED RETROSPOT,12,2011-12-06 08:52:00,2.1,17728.0,United Kingdom
580735,23439,HAND WARMER RED LOVE HEART,12,2011-12-06 08:52:00,2.1,17728.0,United Kingdom
580735,22865,HAND WARMER OWL DESIGN,12,2011-12-06 08:52:00,2.1,17728.0,United Kingdom
580735,23355,HOT WATER BOTTLE KEEP CALM,4,2011-12-06 08:52:00,4.95,17728.0,United Kingdom
580735,21479,WHITE SKULL HOT WATER BOTTLE ,4,2011-12-06 08:52:00,4.25,17728.0,United Kingdom
580735,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-12-06 08:52:00,4.25,17728.0,United Kingdom
580735,21930,JUMBO STORAGE BAG SKULLS,10,2011-12-06 08:52:00,2.08,17728.0,United Kingdom
580735,21936,RED RETROSPOT PICNIC BAG,5,2011-12-06 08:52:00,2.95,17728.0,United Kingdom
580735,20725,LUNCH BAG RED RETROSPOT,10,2011-12-06 08:52:00,1.65,17728.0,United Kingdom
580735,85099B,JUMBO BAG RED RETROSPOT,10,2011-12-06 08:52:00,2.08,17728.0,United Kingdom
580735,23209,LUNCH BAG VINTAGE DOILY ,10,2011-12-06 08:52:00,1.65,17728.0,United Kingdom
580735,23203,JUMBO BAG VINTAGE DOILY ,10,2011-12-06 08:52:00,2.08,17728.0,United Kingdom
580735,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,2011-12-06 08:52:00,4.15,17728.0,United Kingdom
